step,policy_loss,qf1_loss,qf2_loss,vf_loss,vf_pred,alpha,wall_sec
100,-15.497852325439453,80.144775390625,73.99024200439453,0.03549853339791298,-0.7831107974052429,0.0,4.756559133529663
200,-85.65937805175781,62.33922576904297,45.76948547363281,0.3468307554721832,-3.4665164947509766,0.0,5.817844867706299
300,-74.6021728515625,48.319637298583984,38.964515686035156,2.3284189701080322,-4.539158344268799,0.0,10.180904150009155
400,-124.64892578125,48.10586166381836,37.17461013793945,2.0655620098114014,-7.3538498878479,0.0,14.60556411743164
500,-26.66897964477539,65.81122589111328,54.050865173339844,1.350368618965149,-7.236476421356201,0.0,18.630901098251343
600,-38.122222900390625,73.63945007324219,66.35081481933594,0.7569983005523682,-7.215032577514648,0.0,22.5039701461792
700,-119.65403747558594,62.20018005371094,59.17076110839844,1.1003185510635376,-9.070524215698242,0.0,26.312499046325684
800,-11.42661190032959,76.8067626953125,82.08245849609375,0.8013318777084351,-7.613081932067871,0.0,30.71464729309082
900,-36.6402587890625,93.77726745605469,75.9432144165039,0.7641803026199341,-7.729927062988281,0.0,35.69569396972656
1000,-12.47945499420166,82.9380874633789,82.99796295166016,0.7642298340797424,-7.073439598083496,0.0,37.52055478096008
1100,-20.996204376220703,91.4020004272461,84.30982971191406,0.5730125904083252,-6.457383155822754,0.0,42.09059691429138
1200,-6.122468948364258,103.8660888671875,103.92788696289062,0.569878876209259,-6.712520599365234,0.0,46.7973313331604
1300,-1.3734065294265747,110.9398422241211,104.85517883300781,1.0622406005859375,-4.939924240112305,0.0,52.9076087474823
1400,-3.2569572925567627,106.7223892211914,102.00385284423828,0.735303521156311,-6.863039493560791,0.0,57.84085011482239
1500,-8.475081443786621,103.6163330078125,104.73301696777344,0.5858010053634644,-8.238326072692871,0.0,62.19554853439331
1600,-44.14509582519531,124.57195281982422,131.17535400390625,0.741651713848114,-8.12222671508789,0.0,65.0922703742981
1700,-1.7413159608840942,127.36604309082031,129.1920928955078,0.6365447640419006,-8.467643737792969,0.0,70.95348453521729
1800,-26.889938354492188,114.7737045288086,122.78631591796875,0.6727511882781982,-7.958602428436279,0.0,75.72693300247192
1900,-3.2735280990600586,111.41090393066406,117.52813720703125,0.8982585072517395,-6.085268497467041,0.0,80.7083957195282
2000,-18.67719268798828,120.97349548339844,124.64984130859375,1.007824420928955,-8.746809005737305,0.0,85.87602853775024
2100,-140.15823364257812,139.15269470214844,136.8934326171875,1.2068978548049927,-8.014741897583008,0.0,92.14571523666382
2200,-3.4376747608184814,113.56111145019531,118.0665283203125,0.981997013092041,-7.416418075561523,0.0,94.49601745605469
2300,-4.8853888511657715,117.05381774902344,125.32669830322266,1.0091814994812012,-7.5577826499938965,0.0,99.06554102897644
2400,-12.345319747924805,113.80180358886719,121.2021484375,0.8961812257766724,-10.330609321594238,0.0,103.67065191268921
2500,-17.892927169799805,135.88150024414062,137.4371337890625,0.8597143888473511,-7.527239799499512,0.0,109.5531587600708
2600,-20.0039005279541,112.84723663330078,117.63335418701172,0.9734431505203247,-7.994429588317871,0.0,114.07840657234192
2700,-5.997171401977539,133.98890686035156,135.0546875,0.9490790367126465,-7.008731842041016,0.0,118.6514835357666
2800,-2.7772693634033203,131.93328857421875,136.67593383789062,0.8983544707298279,-8.799980163574219,0.0,123.19044613838196
2900,-5.254727363586426,117.34254455566406,125.71387481689453,1.0666474103927612,-5.950191497802734,0.0,125.19914841651917
3000,-12.423595428466797,132.2292022705078,128.5529327392578,1.4580960273742676,-8.473384857177734,0.0,129.93736171722412
3100,-36.79072570800781,129.21434020996094,131.07327270507812,1.507624626159668,-8.903332710266113,0.0,134.32498383522034
3200,-27.24759864807129,117.6058349609375,120.79444122314453,1.4476444721221924,-6.154505729675293,0.0,138.79886889457703
3300,-19.11093521118164,154.17987060546875,155.24815368652344,1.078502893447876,-6.978298187255859,0.0,145.17610383033752
3400,-8.613000869750977,125.4209213256836,130.84097290039062,1.5742735862731934,-8.464306831359863,0.0,150.91204833984375
3500,-23.29492950439453,128.45643615722656,132.0926055908203,1.3239543437957764,-9.23520278930664,0.0,152.89361476898193
3600,-6.846155166625977,126.19751739501953,120.77195739746094,1.353754997253418,-7.09760856628418,0.0,157.94244408607483
3700,-15.925272941589355,140.57432556152344,137.53976440429688,1.464322566986084,-7.641160011291504,0.0,162.4214243888855
3800,-6.1215996742248535,122.65093231201172,124.59953308105469,1.4937671422958374,-8.953498840332031,0.0,168.01377391815186
3900,-11.880206108093262,113.81808471679688,113.0560531616211,1.5156532526016235,-6.397441387176514,0.0,172.87871837615967
4000,-3.675788402557373,124.6884765625,124.6495590209961,1.5904699563980103,-7.913482189178467,0.0,178.24517393112183
4100,-5.175572395324707,126.29570007324219,110.00015258789062,1.5285232067108154,-7.450940132141113,0.0,183.14986896514893
4200,-7.017648696899414,184.97335815429688,188.14535522460938,1.6109861135482788,-9.068354606628418,0.0,187.17205905914307
4300,-20.35902214050293,131.37583923339844,138.04205322265625,1.473592758178711,-7.334322452545166,0.0,195.20882654190063
4400,-17.405969619750977,127.654296875,128.01368713378906,1.929589867591858,-10.067185401916504,0.0,201.9539303779602
4500,-54.2067756652832,122.90126037597656,120.87464141845703,1.6565933227539062,-9.065171241760254,0.0,209.10284805297852
4600,-27.706478118896484,134.4281768798828,132.0001220703125,2.18342661857605,-9.575129508972168,0.0,212.79905581474304
4700,-35.396934509277344,135.36135864257812,148.05271911621094,1.7762041091918945,-7.402607440948486,0.0,220.07909154891968
4800,-12.470906257629395,113.71882629394531,119.43467712402344,1.8938226699829102,-8.55609130859375,0.0,229.53305625915527
4900,-16.754207611083984,133.4454345703125,130.2401885986328,1.8297770023345947,-9.768838882446289,0.0,237.51445031166077
5000,-9.346429824829102,132.069091796875,133.67617797851562,2.029198408126831,-10.072352409362793,0.0,241.57005190849304
5100,-29.942455291748047,124.35380554199219,121.57320404052734,1.944279670715332,-9.36729621887207,0.0,247.43367719650269
5200,-36.65068054199219,116.79812622070312,115.86775207519531,1.9478360414505005,-7.6587090492248535,0.0,253.10484862327576
5300,-2.3805325031280518,148.6627655029297,134.55441284179688,2.5785906314849854,-8.304459571838379,0.0,258.2519998550415
5400,-26.14617156982422,163.03602600097656,162.6367645263672,2.212236166000366,-10.241305351257324,0.0,263.7208216190338
5500,-26.699127197265625,117.90487670898438,122.1925277709961,2.11134934425354,-6.947671890258789,0.0,268.8470072746277
5600,-33.37136459350586,131.3671417236328,145.26454162597656,2.4891715049743652,-9.034384727478027,0.0,271.9526221752167
5700,-6.534933567047119,136.41067504882812,141.74395751953125,2.506744384765625,-10.938165664672852,0.0,280.5494885444641
5800,-43.530914306640625,131.08258056640625,125.14640045166016,2.310568332672119,-9.463155746459961,0.0,289.85430812835693
5900,-5.916644096374512,133.64773559570312,132.23171997070312,2.149714708328247,-8.022879600524902,0.0,298.2381703853607
6000,-2.70223069190979,126.47542572021484,158.66969299316406,2.7388863563537598,-7.515148162841797,0.0,302.9264748096466
6100,-84.17081451416016,118.77706909179688,125.41961669921875,2.756490468978882,-8.335308074951172,0.0,312.61441564559937
6200,-9.104124069213867,139.90496826171875,138.58795166015625,2.751856565475464,-9.499794006347656,0.0,317.9754853248596
6300,-12.821234703063965,165.18603515625,161.50048828125,2.832890748977661,-10.047369003295898,0.0,323.04773449897766
6400,-4.731241226196289,118.26040649414062,118.87471771240234,3.4579782485961914,-9.096833229064941,0.0,328.70247054100037
6500,-30.711280822753906,123.88372802734375,124.99978637695312,2.601893424987793,-8.755556106567383,0.0,331.22559785842896
6600,-10.875459671020508,122.68675231933594,121.72366333007812,3.0957751274108887,-6.1800665855407715,0.0,336.40648007392883
6700,-11.180933952331543,120.56057739257812,122.31975555419922,2.6863489151000977,-9.09558391571045,0.0,341.3805830478668
6800,-10.349971771240234,112.98149871826172,122.80890655517578,2.9394259452819824,-8.280694961547852,0.0,349.56301188468933
6900,-31.540328979492188,121.10108947753906,122.05357360839844,3.8993916511535645,-6.467164039611816,0.0,359.0747137069702
7000,-8.780293464660645,121.82210540771484,118.50991821289062,2.964756965637207,-8.946879386901855,0.0,361.198930978775
7100,-70.13128662109375,131.19683837890625,120.63005065917969,3.358654022216797,-9.814200401306152,0.0,365.89890575408936
7200,-12.175373077392578,118.33129119873047,122.52188873291016,3.2157251834869385,-8.386478424072266,0.0,370.561155796051
7300,-55.088348388671875,137.02188110351562,137.24095153808594,3.459216356277466,-8.21544361114502,0.0,375.5324192047119
7400,-63.05328369140625,129.0623321533203,128.69151306152344,3.772641658782959,-8.299585342407227,0.0,380.58071780204773
7500,-42.902549743652344,113.62909698486328,114.59387969970703,3.4341490268707275,-11.544502258300781,0.0,385.702077627182
7600,-27.614015579223633,121.35002899169922,123.59538269042969,3.4115099906921387,-9.060285568237305,0.0,390.12030053138733
7700,-10.826204299926758,133.87652587890625,149.33041381835938,3.328634738922119,-8.35416316986084,0.0,392.21775364875793
7800,-32.74882507324219,153.94041442871094,161.83375549316406,4.0258588790893555,-11.032695770263672,0.0,396.2519497871399
7900,-15.68794059753418,128.0013427734375,126.31458282470703,3.9582748413085938,-9.943571090698242,0.0,401.19539070129395
8000,-59.00738525390625,135.06114196777344,145.87457275390625,4.304588317871094,-11.69029712677002,0.0,408.2789316177368
8100,-9.175580978393555,133.53684997558594,139.71238708496094,4.392299175262451,-7.808560848236084,0.0,412.5850327014923
8200,-29.527084350585938,109.32918548583984,115.47938537597656,4.567870616912842,-10.083252906799316,0.0,416.94497513771057
8300,-24.125652313232422,120.1964111328125,117.25950622558594,4.646767616271973,-9.452569961547852,0.0,419.4187412261963
8400,-41.20610046386719,138.58053588867188,138.4253387451172,4.151366233825684,-10.744562149047852,0.0,423.81996631622314
8500,-26.022706985473633,120.91780090332031,127.8719711303711,3.843543529510498,-8.19671630859375,0.0,429.4236087799072
8600,-72.37484741210938,118.94591522216797,119.67446899414062,4.291276454925537,-9.438315391540527,0.0,434.3668119907379
8700,-26.691150665283203,132.31683349609375,137.6079559326172,4.412003517150879,-10.061348915100098,0.0,439.4125521183014
8800,-130.34027099609375,132.85621643066406,127.5869140625,5.4528703689575195,-11.249326705932617,0.0,444.63504695892334
8900,-62.19699478149414,119.50780487060547,119.17794799804688,5.137364387512207,-8.50546932220459,0.0,449.1239857673645
9000,-21.479387283325195,134.27197265625,136.42002868652344,4.881210803985596,-10.936635971069336,0.0,453.5852618217468
9100,-48.0435905456543,119.02137756347656,125.69500732421875,5.320989608764648,-8.800429344177246,0.0,464.2595419883728
9200,-41.37290954589844,125.82942199707031,125.7026596069336,5.46751594543457,-10.451654434204102,0.0,473.63253021240234
9300,-34.3856201171875,132.87115478515625,136.10353088378906,5.33587121963501,-9.406633377075195,0.0,479.04407715797424
9400,-25.284725189208984,168.80332946777344,174.08120727539062,5.414942741394043,-9.893365859985352,0.0,481.5609276294708
9500,-12.977185249328613,137.4623260498047,135.4642333984375,6.154046058654785,-8.7669095993042,0.0,487.10759830474854
9600,-22.47035789489746,130.43431091308594,120.74618530273438,5.9164958000183105,-9.380290985107422,0.0,492.166321516037
9700,-60.84745788574219,149.06275939941406,182.3550262451172,5.551426410675049,-11.33470344543457,0.0,497.05926728248596
9800,-43.678192138671875,151.45849609375,155.9095458984375,6.125706672668457,-9.652219772338867,0.0,500.990864276886
9900,-12.102513313293457,197.60061645507812,191.9449462890625,5.897648334503174,-10.137500762939453,0.0,507.3459129333496
10000,-97.22598266601562,162.09963989257812,163.99212646484375,6.006471633911133,-11.552584648132324,0.0,509.59146523475647
10100,-36.79121398925781,123.47250366210938,125.15158081054688,4.907384395599365,-10.157327651977539,0.0,517.7507634162903
10200,4.0742645263671875,118.24195861816406,118.48079681396484,5.675525665283203,-10.516736030578613,0.0,523.8507921695709
10300,-36.37446594238281,137.69329833984375,140.95843505859375,6.171407222747803,-8.444933891296387,0.0,531.2556209564209
10400,-64.70005798339844,142.03167724609375,138.47222900390625,6.019329071044922,-9.102810859680176,0.0,536.0438845157623
10500,-38.1065788269043,132.4938201904297,127.90018463134766,6.989960670471191,-9.725171089172363,0.0,538.9679296016693
10600,-28.799598693847656,141.0559844970703,139.12254333496094,6.589535713195801,-10.093536376953125,0.0,544.8039710521698
10700,-35.97903060913086,106.92888641357422,104.36739349365234,6.799217224121094,-8.888463973999023,0.0,551.6014063358307
10800,-10.891474723815918,238.7771453857422,252.3733367919922,7.416073322296143,-11.375833511352539,0.0,558.8474380970001
10900,-138.23843383789062,135.82626342773438,135.4617919921875,7.884365081787109,-12.404258728027344,0.0,566.1093363761902
11000,-72.84608459472656,130.39767456054688,132.30059814453125,6.710526466369629,-9.619955062866211,0.0,570.4961333274841
11100,-38.53046417236328,132.91600036621094,129.38015747070312,7.2741169929504395,-9.321451187133789,0.0,575.9742636680603
11200,-30.876901626586914,116.96305847167969,115.87936401367188,7.070798873901367,-8.820711135864258,0.0,582.4181413650513
11300,-23.58403968811035,113.38903045654297,151.62594604492188,7.5733442306518555,-10.213196754455566,0.0,590.0620744228363
11400,-110.12281036376953,127.21382141113281,128.3676300048828,9.372295379638672,-12.256771087646484,0.0,596.010719537735
11500,-23.622146606445312,136.05545043945312,127.37006378173828,7.0149335861206055,-10.30324649810791,0.0,601.2101876735687
11600,-75.44061279296875,127.56672668457031,130.56256103515625,7.68936014175415,-11.133718490600586,0.0,607.7659575939178
11700,-53.93423843383789,107.97209167480469,108.68789672851562,6.93036413192749,-9.843366622924805,0.0,614.0539119243622
11800,-45.31549072265625,122.62694549560547,126.23320007324219,7.753199577331543,-10.07073974609375,0.0,625.756528377533
11900,-74.50975799560547,133.7686767578125,125.35469055175781,8.0147705078125,-11.485901832580566,0.0,630.048431634903
12000,-63.852935791015625,210.61070251464844,201.54257202148438,8.469307899475098,-9.967324256896973,0.0,638.1190259456635
12100,-24.30421257019043,127.25660705566406,128.9640655517578,8.335391998291016,-10.963513374328613,0.0,647.8612661361694
12200,-24.706968307495117,116.04776763916016,117.49038696289062,9.780876159667969,-8.236357688903809,0.0,653.3711071014404
12300,-80.21601104736328,156.22369384765625,150.16641235351562,8.346837043762207,-11.224386215209961,0.0,656.7317488193512
12400,-47.9746208190918,133.15243530273438,130.0618438720703,8.673351287841797,-10.687129020690918,0.0,661.038400888443
12500,-49.42184066772461,126.74858856201172,122.77230834960938,8.64018726348877,-11.402807235717773,0.0,665.2715532779694
12600,-31.963542938232422,121.88362121582031,118.76675415039062,8.665642738342285,-10.648618698120117,0.0,670.5437831878662
12700,-38.41387176513672,136.86705017089844,136.34536743164062,8.827767372131348,-10.348570823669434,0.0,676.5323529243469
12800,-92.0593032836914,129.99612426757812,125.44502258300781,9.267464637756348,-11.421202659606934,0.0,682.2746930122375
12900,-30.850914001464844,125.73706817626953,128.89710998535156,8.723237991333008,-10.288100242614746,0.0,688.4704959392548
13000,-40.43733215332031,128.86119079589844,128.90650939941406,8.408522605895996,-8.62219524383545,0.0,691.0104913711548
13100,-77.88613891601562,133.77389526367188,132.85618591308594,9.08578109741211,-9.697471618652344,0.0,697.1815905570984
13200,-34.374210357666016,115.06379699707031,118.70581817626953,9.05720329284668,-11.411432266235352,0.0,704.3145985603333
13300,-22.57744026184082,122.92891693115234,130.62310791015625,8.751462936401367,-9.078605651855469,0.0,710.7261297702789
13400,-15.704671859741211,127.23674774169922,122.5937728881836,10.273645401000977,-9.598915100097656,0.0,717.4513359069824
13500,-40.69093322753906,118.18769836425781,114.72821044921875,9.500479698181152,-11.80070686340332,0.0,720.6033451557159
13600,-49.98204803466797,127.44928741455078,127.71048736572266,9.344319343566895,-7.5831780433654785,0.0,725.7270503044128
13700,-25.944780349731445,127.88542175292969,156.700927734375,8.754962921142578,-10.305061340332031,0.0,731.0141153335571
13800,-32.66678237915039,115.26858520507812,147.0867156982422,9.33277702331543,-9.098064422607422,0.0,736.0006520748138
13900,-41.66691207885742,139.1110076904297,139.5633544921875,9.80152702331543,-11.182117462158203,0.0,743.5518074035645
14000,-61.47447967529297,126.51025390625,126.48523712158203,10.059595108032227,-11.524397850036621,0.0,745.649561882019
14100,-26.866819381713867,128.20811462402344,140.52467346191406,10.23721694946289,-12.666062355041504,0.0,751.1493518352509
14200,-23.83031463623047,117.023193359375,124.79426574707031,9.577065467834473,-9.102119445800781,0.0,757.7151412963867
14300,-20.25865364074707,119.22663116455078,120.69772338867188,9.904922485351562,-10.53772258758545,0.0,764.7133803367615
14400,-123.6575698852539,142.54888916015625,152.61669921875,9.799771308898926,-10.191793441772461,0.0,769.5427215099335
14500,-14.107686042785645,140.04501342773438,122.84962463378906,11.02042293548584,-8.988375663757324,0.0,775.9661886692047
14600,-34.947120666503906,170.9313507080078,183.3843994140625,9.525100708007812,-10.454757690429688,0.0,780.1463022232056
14700,-33.418155670166016,138.87200927734375,148.66708374023438,9.756546974182129,-9.956599235534668,0.0,784.1968884468079
14800,-21.08363914489746,131.35910034179688,120.10577392578125,9.893092155456543,-10.457894325256348,0.0,790.6904740333557
14900,-25.906723022460938,134.4450225830078,139.09970092773438,11.62783145904541,-8.795005798339844,0.0,795.8094711303711
15000,-34.754905700683594,165.02886962890625,171.00271606445312,11.343362808227539,-9.493145942687988,0.0,800.8298981189728
15100,-43.745948791503906,121.2505874633789,126.72740173339844,11.673179626464844,-11.752029418945312,0.0,807.814094543457
15200,-44.02764129638672,105.782470703125,106.56895446777344,10.603663444519043,-9.027560234069824,0.0,812.2923288345337
15300,-58.79094314575195,119.36846923828125,124.51687622070312,9.805092811584473,-9.339086532592773,0.0,817.4874186515808
15400,-29.848400115966797,150.75648498535156,149.39761352539062,9.704310417175293,-10.94798755645752,0.0,822.6193866729736
15500,-34.69950866699219,133.19068908691406,130.86520385742188,11.348880767822266,-9.332931518554688,0.0,828.2694017887115
15600,-52.596351623535156,116.03428649902344,127.21134948730469,10.621170997619629,-10.661534309387207,0.0,832.914056301117
15700,-113.78417205810547,199.52024841308594,192.1981964111328,11.546422958374023,-11.308053970336914,0.0,834.5251984596252
15800,-39.783992767333984,122.69197845458984,119.9349365234375,10.298957824707031,-10.04345417022705,0.0,838.596001625061
15900,-63.69247055053711,186.5970001220703,177.99449157714844,12.825862884521484,-10.369807243347168,0.0,844.1669583320618
16000,-35.497840881347656,122.82778930664062,120.07988739013672,10.83373737335205,-10.487374305725098,0.0,850.7247653007507
16100,-31.428363800048828,152.7803192138672,172.32322692871094,11.071020126342773,-9.770742416381836,0.0,855.8005790710449
16200,-10.438033103942871,147.64889526367188,136.69192504882812,12.861642837524414,-10.776891708374023,0.0,860.3725171089172
16300,-32.180023193359375,115.55476379394531,111.3058853149414,10.835676193237305,-9.836661338806152,0.0,866.2956163883209
16400,-33.79557418823242,120.55448913574219,131.43898010253906,9.440991401672363,-9.486383438110352,0.0,868.7783493995667
16500,-22.800125122070312,109.089599609375,118.79705810546875,12.00712776184082,-7.465699672698975,0.0,874.4691579341888
16600,-126.56114196777344,101.70856475830078,102.48509216308594,12.071186065673828,-11.538875579833984,0.0,878.5130155086517
16700,-50.977684020996094,143.5634002685547,134.03355407714844,9.99222183227539,-9.626692771911621,0.0,882.7189106941223
16800,-46.80192184448242,134.98883056640625,129.21522521972656,12.073417663574219,-12.29507827758789,0.0,889.2142140865326
16900,-39.555362701416016,118.05304718017578,118.56505584716797,13.640054702758789,-8.925166130065918,0.0,894.1365003585815
17000,-40.539337158203125,106.91666412353516,111.63961791992188,11.51651382446289,-9.340152740478516,0.0,898.6481671333313
17100,-60.88463592529297,120.26498413085938,124.34761810302734,12.758758544921875,-10.895268440246582,0.0,904.990941286087
17200,-70.25092315673828,115.09202575683594,116.82940673828125,11.020866394042969,-9.505819320678711,0.0,911.0873093605042
17300,-51.264892578125,133.80413818359375,126.06900787353516,11.188835144042969,-10.301733016967773,0.0,916.2981741428375
17400,-48.721553802490234,139.52142333984375,137.66226196289062,11.354496955871582,-8.550027847290039,0.0,923.0090367794037
17500,-102.1583023071289,147.09609985351562,152.75137329101562,11.64857292175293,-11.75333023071289,0.0,925.2691159248352
17600,-72.30500030517578,117.61248016357422,123.80760955810547,12.655129432678223,-10.183300018310547,0.0,931.1544494628906
17700,-66.2248764038086,128.8701171875,140.7542724609375,12.355256080627441,-11.050565719604492,0.0,936.6583344936371
17800,-14.782500267028809,127.76519012451172,131.18165588378906,11.576217651367188,-10.024397850036621,0.0,940.7204005718231
17900,-51.385536193847656,142.1613006591797,156.9087677001953,11.496797561645508,-9.173439025878906,0.0,946.413298368454
18000,-67.12997436523438,152.1863555908203,154.36245727539062,13.174007415771484,-10.760247230529785,0.0,951.822496175766
18100,-57.9642219543457,112.09139251708984,112.78285217285156,12.000229835510254,-9.860628128051758,0.0,954.2232701778412
18200,-29.237411499023438,112.28456115722656,125.49504852294922,11.014217376708984,-11.219074249267578,0.0,957.4581260681152
18300,-117.1724853515625,151.06202697753906,146.86390686035156,12.757159233093262,-11.660500526428223,0.0,963.5278871059418
18400,-55.1382942199707,126.25003814697266,127.51310729980469,13.695632934570312,-10.207514762878418,0.0,970.5337886810303
18500,-30.876855850219727,125.21692657470703,130.435546875,12.734991073608398,-10.313925743103027,0.0,978.4756891727448
18600,-30.12900733947754,130.30604553222656,132.713623046875,11.484288215637207,-9.336885452270508,0.0,984.0013282299042
18700,-80.09851837158203,127.98412322998047,130.97994995117188,12.55138111114502,-10.692490577697754,0.0,986.1318068504333
18800,-30.46957778930664,132.28729248046875,130.71707153320312,13.870987892150879,-10.416590690612793,0.0,991.2376928329468
18900,-63.32941436767578,125.60526275634766,135.3180389404297,12.788576126098633,-12.409364700317383,0.0,995.3293740749359
19000,-39.901363372802734,126.97599792480469,128.74449157714844,14.391312599182129,-10.19895076751709,0.0,1000.9469604492188
19100,-47.96263885498047,173.8556671142578,180.7677001953125,11.643260955810547,-9.393608093261719,0.0,1005.6203238964081
19200,-56.54133605957031,120.24942016601562,127.43523406982422,13.097684860229492,-10.764883995056152,0.0,1012.1549217700958
19300,-54.507686614990234,112.92890930175781,120.03498840332031,14.135117530822754,-11.135869026184082,0.0,1015.04296708107
19400,-40.204158782958984,119.31432342529297,127.2186508178711,13.045799255371094,-11.200034141540527,0.0,1020.2401320934296
19500,-60.09099197387695,102.58860778808594,103.46590423583984,12.716500282287598,-9.587418556213379,0.0,1027.0254476070404
19600,-11.173645973205566,115.64823913574219,115.7566909790039,14.077916145324707,-10.352499008178711,0.0,1032.7891144752502
19700,-35.803619384765625,133.620361328125,131.34568786621094,12.216544151306152,-10.822122573852539,0.0,1037.639610528946
19800,-30.632091522216797,126.228271484375,128.9052276611328,12.91915225982666,-8.245756149291992,0.0,1042.8733704090118
19900,-43.98450469970703,116.72781372070312,119.28436279296875,11.991652488708496,-9.04910945892334,0.0,1045.5998148918152
20000,-34.486114501953125,118.0034408569336,117.47557067871094,14.39552116394043,-9.697491645812988,0.0,1052.5658702850342
20100,-32.19789123535156,126.15546417236328,117.34829711914062,13.272627830505371,-9.64005184173584,0.0,1056.154522895813
